edge_id,from_node_id,to_node_id,from_grid_id,to_grid_id,distance_m,azimuth_deg,orientation_deg,direction_bin,interval_fit,from_shuseki_count,to_shuseki_count
E556,G91871,G98057,91871,98057,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E557,G91871,G98729,91871,98729,31.622776601683793,341.565051177078,161.56505117707798,157.5,0.9350889359326483,1,1
E558,G91871,G98919,91871,98919,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E559,G91871,G99269,91871,99269,28.284271247461902,315,135,135,0.9313708498984761,1,1
E560,G91871,G99283,91871,99283,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E561,G91871,G99531,91871,99531,41.23105625617661,345.96375653207355,165.96375653207355,157.5,0.5507577497529357,1,1
E562,G91871,G100485,91871,100485,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E563,G91871,G103389,91871,103389,42.42640687119285,225,45,45,0.5029437251522859,1,1
E564,G91871,G103663,91871,103663,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E565,G91871,G103903,91871,103903,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,2
E566,G91871,G103914,91871,103914,42.42640687119285,315,135,135,0.5029437251522859,1,1
E567,G91871,G103941,91871,103941,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E568,G91871,G107709,91871,107709,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E569,G91871,G107904,91871,107904,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,2
E570,G91874,G93243,91874,93243,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E571,G91874,G93531,91874,93531,20,270,90,90,0.6,1,1
E572,G91874,G93568,91874,93568,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E573,G91874,G94168,91874,94168,20,270,90,90,0.6,1,1
E574,G91874,G95127,91874,95127,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E575,G91874,G95140,91874,95140,20,270,90,90,0.6,1,1
E576,G91874,G95198,91874,95198,31.622776601683793,251.56505117707798,71.56505117707798,67.5,0.9350889359326483,1,1
E577,G91874,G95448,91874,95448,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E578,G91874,G95463,91874,95463,20,270,90,90,0.6,1,1
E579,G91874,G95493,91874,95493,30,270,90,90,1,1,1
E580,G91874,G95494,91874,95494,31.622776601683793,251.56505117707798,71.56505117707798,67.5,0.9350889359326483,1,1
E581,G91874,G97666,91874,97666,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,2
E582,G91874,G98057,91874,98057,28.284271247461902,315,135,135,0.9313708498984761,1,1
E583,G91874,G98729,91874,98729,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E584,G91874,G98919,91874,98919,42.42640687119285,315,135,135,0.5029437251522859,1,1
E585,G91874,G99269,91874,99269,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,1
E586,G91874,G99531,91874,99531,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E587,G91874,G103903,91874,103903,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,2
E588,G92175,G93243,92175,93243,28.284271247461902,225,45,45,0.9313708498984761,1,1
E589,G92175,G93244,92175,93244,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,1,2
E590,G92175,G93531,92175,93531,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E591,G92175,G93568,92175,93568,28.284271247461902,225,45,45,0.9313708498984761,1,1
E592,G92175,G94168,92175,94168,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E593,G92175,G95127,92175,95127,20,270,90,90,0.6,1,1
E594,G92175,G95140,92175,95140,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E595,G92175,G95198,92175,95198,36.05551275463989,236.30993247402023,56.30993247402023,45,0.75777948981440435,1,1
E596,G92175,G95448,92175,95448,28.284271247461902,225,45,45,0.9313708498984761,1,1
E597,G92175,G95463,92175,95463,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E598,G92175,G95493,92175,95493,31.622776601683793,251.56505117707798,71.56505117707798,67.5,0.9350889359326483,1,1
E599,G92175,G95494,92175,95494,36.05551275463989,236.30993247402023,56.30993247402023,45,0.75777948981440435,1,1
E600,G92175,G97666,92175,97666,31.622776601683793,288.434948822922,108.43494882292202,90,0.9350889359326483,1,2
E601,G92175,G98057,92175,98057,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E602,G92175,G98729,92175,98729,28.284271247461902,315,135,135,0.9313708498984761,1,1
E603,G92175,G98919,92175,98919,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,1
E604,G92175,G99269,92175,99269,31.622776601683793,288.434948822922,108.43494882292202,90,0.9350889359326483,1,1
E605,G92175,G99283,92175,99283,42.42640687119285,315,135,135,0.5029437251522859,1,1
E606,G92175,G99531,92175,99531,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E607,G92175,G100171,92175,100171,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E608,G92175,G100485,92175,100485,42.42640687119285,315,135,135,0.5029437251522859,1,1
E609,G92175,G103903,92175,103903,41.23105625617661,284.03624346792645,104.03624346792645,90,0.5507577497529357,1,2
E610,G92175,G103914,92175,103914,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E611,G92178,G93243,92178,93243,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,2,1
E612,G92178,G93244,92178,93244,20,180,0,0,0.6,2,2
E613,G92178,G93568,92178,93568,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,2,1
E614,G92178,G95198,92178,95198,28.284271247461902,225,45,45,0.9313708498984761,2,1
E615,G92178,G95448,92178,95448,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,2,1
E616,G92178,G95493,92178,95493,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,2,1
E617,G92178,G95494,92178,95494,28.284271247461902,225,45,45,0.9313708498984761,2,1
E618,G92178,G97666,92178,97666,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,2,2
E619,G92178,G98729,92178,98729,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,2,1
E620,G92178,G98919,92178,98919,28.284271247461902,315,135,135,0.9313708498984761,2,1
E621,G92178,G99269,92178,99269,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,2,1
E622,G92178,G99283,92178,99283,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,2,1
E623,G92178,G99531,92178,99531,31.622776601683793,341.565051177078,161.56505117707798,157.5,0.9350889359326483,2,1
E624,G92178,G100171,92178,100171,41.23105625617661,345.96375653207355,165.96375653207355,157.5,0.5507577497529357,2,1
E625,G92178,G100222,92178,100222,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,2,1
E626,G92178,G100485,92178,100485,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,2,1
E627,G92178,G103663,92178,103663,41.23105625617661,284.03624346792645,104.03624346792645,90,0.5507577497529357,2,1
E628,G92178,G103903,92178,103903,31.622776601683793,288.434948822922,108.43494882292202,90,0.9350889359326483,2,2
E629,G92178,G103914,92178,103914,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,2,1
E630,G92178,G103937,92178,103937,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,2,2
E631,G92178,G103941,92178,103941,41.23105625617661,284.03624346792645,104.03624346792645,90,0.5507577497529357,2,1
E632,G92178,G104195,92178,104195,42.42640687119285,315,135,135,0.5029437251522859,2,1
E633,G92178,G107904,92178,107904,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,2,2
E634,G92206,G95198,92206,95198,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E635,G92206,G95493,92206,95493,20,270,90,90,0.6,1,1
E636,G92206,G95494,92206,95494,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E637,G92206,G97666,92206,97666,28.284271247461902,315,135,135,0.9313708498984761,1,2
E638,G92206,G98057,92206,98057,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E639,G92206,G98729,92206,98729,31.622776601683793,341.565051177078,161.56505117707798,157.5,0.9350889359326483,1,1
E640,G92206,G98919,92206,98919,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E641,G92206,G99269,92206,99269,28.284271247461902,315,135,135,0.9313708498984761,1,1
E642,G92206,G99283,92206,99283,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E643,G92206,G99531,92206,99531,41.23105625617661,345.96375653207355,165.96375653207355,157.5,0.5507577497529357,1,1
E644,G92206,G100485,92206,100485,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E645,G92206,G103389,92206,103389,42.42640687119285,225,45,45,0.5029437251522859,1,1
E646,G92206,G103663,92206,103663,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E647,G92206,G103903,92206,103903,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,2
E648,G92206,G103914,92206,103914,42.42640687119285,315,135,135,0.5029437251522859,1,1
E649,G92206,G103941,92206,103941,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E650,G92206,G107709,92206,107709,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E651,G92206,G107904,92206,107904,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,2
E652,G92207,G105612,92207,105612,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E653,G92207,G105799,92207,105799,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,1
E654,G92207,G105834,92207,105834,42.42640687119285,315,135,135,0.5029437251522859,1,1
E655,G92207,G106215,92207,106215,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E656,G92225,G105799,92225,105799,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E657,G92226,G105799,92226,105799,41.23105625617661,284.03624346792645,104.03624346792645,90,0.5507577497529357,1,1
E658,G92226,G105834,92226,105834,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E659,G92544,G105612,92544,105612,41.23105625617661,284.03624346792645,104.03624346792645,90,0.5507577497529357,1,1
