group_id_1,group_id_2,n_shuseki_1,n_shuseki_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C2,N49,15,1,dense_candidate,small_or_isolated_candidate,415.46880653838724,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N157,73,1,dense_candidate,small_or_isolated_candidate,416.356914759859,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N50,15,1,dense_candidate,small_or_isolated_candidate,418.04999265759227,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N107,15,1,dense_candidate,small_or_isolated_candidate,418.17265920142444,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N259,16,1,dense_candidate,small_or_isolated_candidate,420.32226396184933,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N304,73,1,dense_candidate,small_or_isolated_candidate,420.56762909686245,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N308,15,1,dense_candidate,small_or_isolated_candidate,424.5693433172084,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,C7,15,7,dense_candidate,intermediate_candidate,426.04281637254877,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N145,20,1,dense_candidate,small_or_isolated_candidate,426.29437929459147,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N138,73,1,dense_candidate,small_or_isolated_candidate,428.82997190047985,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N152,73,1,dense_candidate,small_or_isolated_candidate,430.4678645075805,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N153,73,1,dense_candidate,small_or_isolated_candidate,432.0975102383042,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N51,16,1,dense_candidate,small_or_isolated_candidate,432.7355904196473,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N30,73,1,dense_candidate,small_or_isolated_candidate,433.28642003645245,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N52,16,1,dense_candidate,small_or_isolated_candidate,433.43156165770813,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N259,20,1,dense_candidate,small_or_isolated_candidate,435.5848653823746,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N51,73,1,dense_candidate,small_or_isolated_candidate,436.8760008049545,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N52,73,1,dense_candidate,small_or_isolated_candidate,437.7468871700752,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,C9,32,4,dense_candidate,intermediate_candidate,438.55373716418865,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N294,20,1,dense_candidate,small_or_isolated_candidate,439.01997234805935,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N21,15,1,dense_candidate,small_or_isolated_candidate,439.3671570214022,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,C16,73,4,dense_candidate,intermediate_candidate,443.21125026004165,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N138,16,1,dense_candidate,small_or_isolated_candidate,445.0446917241723,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C11,C2,9,15,dense_candidate,dense_candidate,445.39251569400267,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N308,20,1,dense_candidate,small_or_isolated_candidate,449.4006932941617,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N104,15,1,dense_candidate,small_or_isolated_candidate,451.599554239597,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N126,73,1,dense_candidate,small_or_isolated_candidate,453.0963028771941,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
